AGS,Gemeindename,Wahlbeteiligung,CDU,SPD,GRÜNE,FDP,AFD,LINKE,BSW,Höchster Wert
"08116022,Großbettlingen,""86,2"",""32,9"",""14,0"",""12,0"",""5,4"",""21,5"",""4,9"",""4,5"",CDU"
"08116027,Hochdorf,""86,6"",""36,4"",""15,8"",""13,7"",""4,8"",""17,5"",""4,5"",""3,2"",CDU"
"08116029,Holzmaden,""88,2"",""37,2"",""11,3"",""10,4"",""7,4"",""19,1"",""4,8"",""3,9"",CDU"
"08116033,""Kirchheim unter Teck, Stadt"",""81,7"",""30,8"",""14,6"",""15,1"",""6,7"",""17,6"",""6,7"",""4,1"",CDU"
"08116035,Köngen,""87,3"",""37,2"",""14,8"",""12,7"",""5,3"",""17,4"",""5,2"",""3,0"",CDU"
"08116036,Kohlberg,""88,2"",""37,0"",""12,2"",""8,3"",""8,1"",""21,9"",""4,9"",""3,9"",CDU"
"08116037,Lichtenwald,""87,6"",""36,9"",""11,8"",""13,5"",""7,8"",""19,7"",""3,3"",""3,1"",CDU"
"08116041,Neckartailfingen,""86,9"",""35,6"",""12,4"",""11,8"",""6,5"",""20,1"",""4,4"",""4,1"",CDU"
"08116042,Neckartenzlingen,""83,1"",""31,9"",""13,9"",""11,5"",""6,6"",""20,6"",""6,3"",""4,6"",CDU"
"08116043,Neidlingen,""87,7"",""41,9"",""10,7"",""9,6"",""6,2"",""18,7"",""4,1"",""3,8"",CDU"
"08116046,""Neuffen, Stadt"",""86,7"",""35,0"",""12,5"",""13,5"",""5,9"",""20,9"",""5,0"",""3,4"",CDU"
"08116047,Neuhausen auf den Fildern,""85,6"",""38,5"",""14,2"",""13,8"",""6,3"",""14,7"",""4,7"",""3,6"",CDU"
"08116048,Notzingen,""87,9"",""39,8"",""12,6"",""11,4"",""6,4"",""18,8"",""3,8"",""2,4"",CDU"
"08116049,""Nürtingen, Stadt"",""83,0"",""30,3"",""13,9"",""14,3"",""6,0"",""20,0"",""7,2"",""4,1"",CDU"
"08116050,Oberboihingen,""86,1"",""34,7"",""13,7"",""12,4"",""6,4"",""19,6"",""5,2"",""3,6"",CDU"
"08116053,Ohmden,""87,1"",""36,0"",""11,9"",""12,4"",""5,9"",""22,0"",""4,7"",""2,7"",CDU"
"08116054,""Owen, Stadt"",""89,0"",""40,0"",""12,7"",""13,1"",""6,5"",""15,3"",""4,4"",""3,1"",CDU"
"08116056,""Plochingen, Stadt"",""81,2"",""29,6"",""17,3"",""12,6"",""6,0"",""17,2"",""8,9"",""4,3"",CDU"
"08116058,Reichenbach an der Fils,""83,6"",""33,1"",""16,4"",""11,4"",""5,0"",""19,5"",""6,3"",""3,6"",CDU"
"08116063,Schlaitdorf,""90,2"",""35,3"",""12,4"",""13,7"",""6,4"",""19,6"",""4,5"",""4,5"",CDU"
"08116068,Unterensingen,""86,8"",""34,1"",""14,2"",""10,8"",""6,9"",""20,5"",""5,6"",""3,0"",CDU"
"08116070,""Weilheim an der Teck, Stadt"",""84,4"",""36,3"",""13,7"",""11,5"",""6,3"",""18,7"",""4,8"",""3,8"",CDU"
"08116071,""Wendlingen am Neckar, Stadt"",""83,1"",""31,6"",""14,7"",""12,9"",""5,1"",""21,3"",""6,6"",""3,8"",CDU"
"08116072,""Wernau (Neckar), Stadt"",""82,8"",""36,1"",""14,1"",""11,2"",""5,4"",""18,5"",""6,1"",""4,1"",CDU"
"08116073,Wolfschlugen,""86,9"",""35,1"",""14,1"",""12,9"",""6,4"",""17,8"",""5,3"",""3,2"",CDU"
"08116076,Aichwald,""88,2"",""37,8"",""15,5"",""13,3"",""6,5"",""14,8"",""4,7"",""2,9"",CDU"
"08116077,""Filderstadt, Stadt"",""83,7"",""34,1"",""15,0"",""13,8"",""7,0"",""15,7"",""6,1"",""3,6"",CDU"
"08116078,""Leinfelden-Echterdingen, Stadt"",""85,9"",""33,2"",""15,8"",""16,5"",""7,8"",""12,8"",""6,2"",""3,4"",CDU"
"08116079,Lenningen,""85,9"",""35,2"",""13,2"",""10,3"",""5,9"",""21,6"",""5,1"",""4,2"",CDU"
"08116080,""Ostfildern, Stadt"",""85,6"",""32,6"",""15,1"",""15,8"",""6,3"",""15,7"",""6,6"",""3,9"",CDU"
"08116081,""Aichtal, Stadt"",""86,4"",""35,4"",""13,4"",""13,6"",""7,7"",""18,2"",""4,8"",""3,2"",CDU"
"08117001,Adelberg,""87,7"",""34,7"",""15,7"",""7,5"",""5,7"",""22,8"",""4,4"",""4,7"",CDU"
"08117002,Aichelberg,""86,7"",""31,3"",""13,0"",""11,7"",""7,7"",""25,8"",""3,1"",""3,0"",CDU"
"08117003,Albershausen,""85,1"",""34,2"",""13,6"",""9,0"",""6,0"",""24,4"",""4,4"",""4,4"",CDU"
"08117006,Bad Ditzenbach,""83,2"",""38,0"",""11,6"",""8,5"",""5,7"",""23,8"",""4,5"",""3,4"",CDU"
"08117007,Bad Überkingen,""86,7"",""40,4"",""12,3"",""7,9"",""5,7"",""22,7"",""3,1"",""3,4"",CDU"
"08117009,Birenbach,""85,8"",""35,3"",""14,2"",""9,8"",""6,2"",""23,7"",""3,3"",""3,5"",CDU"
"08117010,Böhmenkirch,""85,0"",""43,0"",""10,3"",""7,1"",""5,1"",""22,8"",""3,1"",""3,5"",CDU"
"08117011,Börtlingen,""89,0"",""33,9"",""13,9"",""9,7"",""5,3"",""23,6"",""4,9"",""2,6"",CDU"
"08117012,Bad Boll,""85,6"",""28,2"",""14,6"",""16,3"",""6,5"",""18,8"",""6,0"",""4,5"",CDU"
"08117014,Deggingen,""83,2"",""39,3"",""12,8"",""9,8"",""5,0"",""20,9"",""4,2"",""3,7"",CDU"
"08117015,""Donzdorf, Stadt"",""84,5"",""41,3"",""13,0"",""9,2"",""5,7"",""19,8"",""3,9"",""2,8"",CDU"
"08117016,Drackenstein,""87,6"",""38,2"",""12,5"",""4,4"",""4,1"",""23,6"",""4,1"",""5,1"",CDU"
"08117017,Dürnau,""88,3"",""32,8"",""14,2"",""11,7"",""6,2"",""22,7"",""5,2"",""3,6"",CDU"
"08117018,""Ebersbach an der Fils, Stadt"",""82,9"",""33,1"",""16,0"",""10,8"",""5,6"",""19,3"",""6,7"",""4,3"",CDU"
"08117019,""Eislingen/Fils, Stadt"",""77,6"",""30,1"",""14,5"",""7,2"",""5,2"",""27,2"",""5,9"",""5,3"",CDU"
"08117020,Eschenbach,""86,8"",""34,2"",""13,6"",""8,3"",""5,1"",""25,0"",""3,6"",""4,9"",CDU"
"08117023,Gammelshausen,""85,1"",""34,0"",""18,2"",""10,3"",""5,8"",""19,6"",""4,7"",""3,1"",CDU"
"08117024,""Geislingen an der Steige, Stadt"",""75,7"",""29,9"",""16,4"",""8,4"",""4,7"",""23,0"",""7,9"",""5,3"",CDU"
"08117025,Gingen an der Fils,""85,6"",""36,1"",""15,5"",""8,1"",""5,0"",""23,2"",""4,5"",""3,9"",CDU"
"08117026,""Göppingen, Stadt"",""78,1"",""29,6"",""14,6"",""10,1"",""5,6"",""24,8"",""6,7"",""4,9"",CDU"
"08117028,Gruibingen,""84,7"",""32,9"",""14,4"",""8,6"",""6,8"",""22,9"",""5,3"",""4,7"",CDU"
"08117029,Hattenhofen,""87,5"",""34,0"",""12,9"",""9,4"",""7,1"",""25,0"",""3,5"",""3,9"",CDU"
"08117030,Heiningen,""85,6"",""34,7"",""16,6"",""10,2"",""5,5"",""21,2"",""4,4"",""3,1"",CDU"
"08117031,Hohenstadt,""86,5"",""38,5"",""8,1"",""8,7"",""7,7"",""24,5"",""4,5"",""3,6"",CDU"
"08117033,Kuchen,""81,0"",""34,0"",""16,8"",""8,7"",""4,6"",""22,4"",""4,9"",""4,3"",CDU"
"08117035,Mühlhausen im Täle,""85,8"",""38,3"",""11,2"",""7,2"",""5,5"",""25,6"",""4,6"",""3,5"",CDU"
"08117037,Ottenbach,""89,0"",""42,9"",""10,8"",""9,2"",""6,0"",""21,4"",""2,9"",""3,1"",CDU"
"08117038,Rechberghausen,""84,8"",""35,8"",""13,8"",""10,4"",""6,1"",""21,4"",""4,4"",""3,1"",CDU"
"08117042,Salach,""81,3"",""34,0"",""14,7"",""8,6"",""5,2"",""23,0"",""5,4"",""5,3"",CDU"
"08117043,Schlat,""88,1"",""36,1"",""13,7"",""10,7"",""7,1"",""20,2"",""4,4"",""3,0"",CDU"
"08117044,Schlierbach,""86,3"",""37,0"",""12,9"",""10,0"",""6,1"",""21,7"",""4,0"",""4,0"",CDU"
"08117049,""Süßen, Stadt"",""82,6"",""32,2"",""15,0"",""8,7"",""6,0"",""24,5"",""5,7"",""4,2"",CDU"
"08117051,""Uhingen, Stadt"",""82,4"",""30,3"",""14,6"",""9,1"",""5,6"",""26,2"",""5,1"",""4,8"",CDU"
"08117053,Wäschenbeuren,""87,9"",""36,8"",""13,9"",""11,2"",""5,6"",""21,7"",""3,9"",""2,8"",CDU"
"08117055,Wangen,""85,2"",""35,1"",""15,9"",""12,0"",""5,4"",""20,8"",""4,4"",""2,5"",CDU"
"08117058,""Wiesensteig, Stadt"",""81,6"",""41,2"",""10,4"",""9,3"",""4,5"",""20,5"",""5,6"",""3,8"",CDU"
"08117060,Zell unter Aichelberg,""87,3"",""38,2"",""12,0"",""10,3"",""5,0"",""23,0"",""4,6"",""3,5"",CDU"
"08117061,""Lauterstein, Stadt"",""85,3"",""42,2"",""12,2"",""4,7"",""5,8"",""25,2"",""3,5"",""3,5"",CDU"
"08118001,Affalterbach,""88,4"",""36,4"",""14,5"",""10,9"",""7,1"",""19,7"",""4,1"",""3,5"",CDU"
"08118003,""Asperg, Stadt"",""84,4"",""33,2"",""14,8"",""15,3"",""6,3"",""15,8"",""6,8"",""4,1"",CDU"
"08118006,Benningen am Neckar,""87,5"",""33,1"",""15,9"",""15,5"",""7,1"",""15,8"",""5,3"",""3,3"",CDU"
"08118007,""Besigheim, Stadt"",""86,2"",""31,8"",""14,4"",""14,5"",""5,6"",""19,3"",""5,9"",""4,0"",CDU"
