WKR_NR;Gebiet;gehört zu;Gewählt;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wählende;Wählende;Wählende;Wählende;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;SPD;SPD;SPD;SPD;CDU;CDU;CDU;CDU;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;FDP;FDP;FDP;FDP;AFD;AFD;AFD;AFD;CSU;CSU;CSU;CSU;DIELINKE;DIELINKE;DIELINKE;DIELINKE
;;;;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen
;;;;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode
114;Duisburg I;5;Sozialdemokratische Partei Deutschlands;159961;163394;159961;163394;127170;118600;127170;118600;1297;1320;862;1006;125873;117280;126308;117594;49116;47314;32468;41308;27748;24299;28994;23166;9830;16777;13470;17912;3081;8203;4228;10593;22224;11101;21867;9802;;;;;10805;5500;13149;5580
115;Duisburg II;5;Sozialdemokratische Partei Deutschlands;152391;155265;152391;155265;111932;98339;111932;98339;1413;1530;1093;1173;110519;96809;110839;97166;36554;38162;27970;35842;21964;19404;21710;18168;7708;10518;7478;10287;2402;6901;2954;7913;29325;13361;27232;11834;;;;;10072;4889;12257;4508
116;Oberhausen – Wesel III;5;Sozialdemokratische Partei Deutschlands;193877;199156;193877;199156;155814;145232;155814;145232;1508;1478;1000;1216;154306;143754;154814;144016;48435;55790;38973;53034;41526;32277;38608;30770;12639;17171;13760;17945;4456;10132;5247;13573;32461;13601;31566;13099;;;;;12057;4908;12769;5613
117;Mülheim – Essen I;5;Sozialdemokratische Partei Deutschlands;177448;182895;177448;182895;145635;139658;145635;139658;1279;1503;779;1069;144356;138155;144856;138589;46990;50168;34203;46084;41764;33090;40688;32698;13280;19547;15927;20232;4958;11884;6189;15188;25140;11704;24695;11135;;;;;9854;3663;11360;4494
118;Essen II;5;Sozialdemokratische Partei Deutschlands;152295;156298;152295;156298;114166;105472;114166;105472;1243;1274;846;1063;112923;104198;113320;104409;34227;39410;26237;35363;27842;23735;25277;21039;9316;12647;10174;13971;2683;6976;3360;9531;26058;12015;24911;11521;;;;;10655;4325;12072;4525
119;Essen III;5;Christlich Demokratische Union Deutschlands;186492;190335;186492;190335;157665;152860;157665;152860;1399;1013;672;797;156266;151847;156993;152063;38546;45612;33184;42629;55806;46635;46387;37053;24617;28745;25317;30764;4835;10871;7710;17995;18664;8225;19130;8398;;;;;11667;5030;14178;6117
120;Recklinghausen I;5;Sozialdemokratische Partei Deutschlands;161611;165193;161611;165193;129041;121640;129041;121640;999;1121;731;903;128042;120519;128310;120737;42357;49437;29886;42552;36873;30845;35131;27988;8687;12833;12447;15180;3278;8481;4581;11989;25911;11087;25874;10927;;;;;7544;3605;9622;4239
121;Recklinghausen II;5;Christlich Demokratische Union Deutschlands;182424;186413;182424;186413;147467;137841;147467;137841;1313;1467;885;1103;146154;136374;146582;136738;42454;51050;34276;48563;46217;38325;42174;33610;10573;14836;12831;15627;3418;11283;5171;13571;30367;13108;30725;12522;;;;;8501;3881;9722;4084
122;Gelsenkirchen;5;Sozialdemokratische Partei Deutschlands;164673;168496;164673;168496;122676;112317;122676;112317;1223;1233;900;1033;121453;111084;121776;111284;38118;44965;29342;41326;28051;21954;27665;22091;7379;11286;7944;11170;4038;9014;3682;9721;31302;15555;30032;14204;;;;;10246;3559;11485;3853
123;Steinfurt I – Borken I;5;Christlich Demokratische Union Deutschlands;201685;202388;201685;202388;168635;156894;168635;156894;1067;1176;886;975;167568;155718;167749;155919;38036;44047;31173;44788;70063;62322;65098;52625;15800;18743;17571;20525;5775;14515;7070;17783;25233;8482;24879;8385;;;;;10028;3699;10636;4469
124;Bottrop – Recklinghausen III;5;Christlich Demokratische Union Deutschlands;195336;199344;195336;199344;157954;148734;157954;148734;1335;1378;984;1111;156619;147356;156970;147623;46277;57560;36279;51637;49624;39834;45951;36814;10249;15144;13164;16434;4185;11352;5422;14647;32869;14075;32770;13899;;;;;8927;3887;10512;4484
125;Borken II;5;Christlich Demokratische Union Deutschlands;200973;201103;200973;201103;172539;162159;172539;162159;1213;1260;858;883;171326;160899;171681;161276;33511;40851;29835;42303;82003;70334;72746;59102;16486;20028;18302;21738;5042;13404;7571;19081;22179;7909;22829;7724;;;;;8743;3928;9358;3914
126;Coesfeld – Steinfurt II;5;Christlich Demokratische Union Deutschlands;194072;194695;194072;194695;169789;161064;169789;161064;1264;1118;868;882;168525;159946;168921;160182;34151;40145;30231;42647;76817;65402;67890;55230;21570;27069;22841;25506;5410;12409;7231;17927;20523;7241;21275;7339;;;;;7708;4242;9221;4093
127;Steinfurt III;5;Christlich Demokratische Union Deutschlands;194165;195513;194165;195513;165587;155635;165587;155635;1124;1292;908;1103;164463;154343;164679;154532;41395;48068;36478;50555;62252;52445;54548;42528;19383;23978;19903;23996;4874;11394;6572;16113;25482;8785;24959;9253;;;;;9868;4611;10611;4723
128;Münster;5;BÜNDNIS 90/DIE GRÜNEN;237654;233953;237654;233953;208022;196276;208022;196276;1207;981;799;820;206815;195295;207223;195456;42553;47047;37437;45844;58996;51096;53313;43790;64529;63160;55149;60036;6779;13038;9629;20786;13426;5234;14210;5603;;;;;14083;7078;25927;9746
129;Warendorf;5;Christlich Demokratische Union Deutschlands;207690;208754;207690;208754;175965;165808;175965;165808;1440;1443;1037;1186;174525;164365;174928;164622;36284;50685;32533;47648;72681;59631;64092;51722;18940;21245;19715;23309;5119;12768;7133;18193;27935;10211;27955;10533;;;;;9798;4074;10946;4525
130;Gütersloh I;5;Christlich Demokratische Union Deutschlands;232757;234177;232757;234177;192682;179726;192682;179726;1780;1604;1311;1378;190902;178122;191371;178348;40230;45878;34663;47371;79377;71185;63908;52421;17265;22851;22189;28308;5941;13507;8477;21211;32668;12812;35110;13299;;;;;10489;4284;12240;5173
131;Bielefeld – Gütersloh II;5;Sozialdemokratische Partei Deutschlands;240475;243059;240475;243059;197039;185345;197039;185345;1643;1481;1148;1182;195396;183864;195891;184163;53131;55234;39841;50009;50740;40928;45716;37355;31273;40015;32373;40161;5930;17793;8168;20658;27994;12294;28142;12448;;;;;19803;9905;25810;11462
132;Herford – Minden-Lübbecke II;5;Christlich Demokratische Union Deutschlands;223060;226894;223060;226894;181749;170464;181749;170464;1661;1646;1223;1408;180088;168818;180526;169056;52574;61554;38800;53359;54251;45138;50128;39769;12898;18090;17508;22732;5867;14021;7448;19884;38341;15855;38431;16144;;;;;10738;5332;12854;6038
133;Minden-Lübbecke I;5;Christlich Demokratische Union Deutschlands;199147;201888;199147;201888;163424;152935;163424;152935;1744;1419;1214;1363;161680;151516;162210;151572;39931;58168;35923;49351;51970;39679;44594;35814;15009;15886;15379;19762;5431;12494;6785;17486;35399;13445;35282;13892;;;;;9057;3940;10761;4857
134;Lippe I;5;Christlich Demokratische Union Deutschlands;221602;224415;221602;224415;182679;172402;182679;172402;1922;1897;1324;1531;180757;170505;181355;170871;42552;52359;37926;53130;56640;44650;49204;39001;21911;26932;19245;23276;5474;16648;7713;20221;39426;16221;39517;16789;;;;;10896;5283;12324;6414
135;Höxter – Gütersloh III – Lippe II;5;Christlich Demokratische Union Deutschlands;169491;172435;169491;172435;141965;134346;141965;134346;1581;1416;1195;1258;140384;132930;140770;133088;26204;37210;23930;36253;60580;53294;51273;43265;10481;12685;11736;14717;4389;9462;6076;15488;28853;11244;29064;11533;;;;;7395;3345;7904;3762
136;Paderborn;5;Christlich Demokratische Union Deutschlands;231585;231534;231585;231534;192379;178377;192379;178377;1503;1540;1107;1395;190876;176837;191272;176982;29105;33513;26305;39089;86833;84669;71383;58419;20144;22926;21998;26981;4528;9845;8049;21877;34924;13152;36232;14360;;;;;11950;5532;13551;5858
137;Hagen – Ennepe-Ruhr-Kreis I;5;Christlich Demokratische Union Deutschlands;195955;201594;195955;201594;153869;144751;153869;144751;1523;1651;1000;1142;152346;143100;152869;143609;39055;47581;32724;47400;44053;37718;43380;34210;12544;17954;13448;17237;5190;13531;5897;16179;32562;14419;31913;13760;;;;;9025;4552;11933;4857
138;Ennepe-Ruhr-Kreis II;5;Christlich Demokratische Union Deutschlands;170960;175283;170960;175283;142860;136706;142860;136706;1182;1252;819;1006;141678;135454;142041;135700;42576;47993;33730;45664;43774;33357;38804;29855;14587;21734;17813;21941;4263;11530;5787;14432;23490;9731;23813;9654;;;;;8617;3715;10659;5029
139;Bochum I;5;Sozialdemokratische Partei Deutschlands;200128;202393;200128;202393;163515;154691;163515;154691;1377;2624;872;1103;162138;152067;162643;153588;53007;58235;39363;50162;39934;32962;38267;29811;22181;28288;24224;30795;4681;13657;5942;14583;22797;;22483;10232;;;;;15274;9361;19652;8225
140;Herne – Bochum II;5;Sozialdemokratische Partei Deutschlands;170434;173939;170434;173939;132194;123045;132194;123045;1513;1535;1031;1204;130681;121510;131163;121841;43832;52792;33909;46578;31032;24027;29840;23164;11111;14262;11719;15383;2948;8455;3893;10623;28088;11863;27453;11882;;;;;10878;4667;12576;5029
141;Dortmund I;5;Sozialdemokratische Partei Deutschlands;203655;206727;203655;206727;165438;155814;165438;155814;1351;1098;943;940;164087;154716;164495;154874;50260;51037;37861;50117;38929;30051;36346;27797;22994;26308;25180;31867;4857;10416;5913;14550;26058;10577;25853;10746;;;;;15047;5908;19459;7566
142;Dortmund II;5;Sozialdemokratische Partei Deutschlands;195508;199317;195508;199317;154308;143855;154308;143855;1537;1298;1018;1065;152771;142557;153290;142790;49485;55695;37510;51080;37960;28897;36026;27650;15742;21028;17291;21714;4047;10270;5405;13629;28240;11816;27597;11290;;;;;13794;5823;15577;6361
143;Unna I;5;Sozialdemokratische Partei Deutschlands;190511;194493;190511;194493;157471;148083;157471;148083;1412;1322;976;1147;156059;146761;156495;146936;49685;59869;38636;53490;46506;36810;42844;31995;14058;20340;16275;20022;3973;9137;5436;15286;29075;11736;29411;11428;;;;;9491;4731;11269;5154
144;Hamm – Unna II;5;Sozialdemokratische Partei Deutschlands;227725;231226;227725;231226;181960;168760;181960;168760;1718;1708;1176;1332;180242;167052;180784;167428;58098;67774;41847;59227;54188;44266;51262;40444;11585;16958;14776;19149;4810;12058;6099;16764;38695;15562;38096;15497;;;;;12866;6285;13545;5694
145;Soest;5;Christlich Demokratische Union Deutschlands;229384;231811;229384;231811;190495;179003;190495;179003;1479;1554;1030;1174;189016;177449;189465;177829;42543;54614;34834;51061;70482;58791;66360;51697;18136;22154;19040;24089;7447;17826;7681;21005;36667;13992;35823;14206;;;;;11204;5548;11577;5520
146;Hochsauerlandkreis;5;Christlich Demokratische Union Deutschlands;196716;200496;196716;200496;165047;156518;165047;156518;1047;1101;865;1024;164000;155417;164182;155494;35079;50056;26873;44640;78260;62810;71615;52017;10025;12478;12026;15473;4182;10806;6299;18712;26025;10068;27390;11532;;;;;7646;2685;8774;3989
147;Siegen-Wittgenstein;5;Christlich Demokratische Union Deutschlands;202346;207672;202346;207672;168209;162162;168209;162162;1419;1336;998;1164;166790;160826;167211;160998;40825;48897;33313;50327;56827;54042;52767;42161;12486;16624;14338;17842;5300;13586;6628;18597;34137;14424;33905;14709;;;;;10725;4900;12099;5726
148;Olpe – Märkischer Kreis I;5;Christlich Demokratische Union Deutschlands;198265;203350;198265;203350;163342;154830;163342;154830;1410;1446;1035;1159;161932;153384;162307;153671;33640;45366;26688;42362;68241;56879;63117;50364;10191;13645;11717;15243;5650;15944;6416;19227;32358;13104;33289;13100;;;;;8231;3935;8900;4150
149;Märkischer Kreis II;5;Christlich Demokratische Union Deutschlands;191152;195816;191152;195816;153121;143689;153121;143689;1324;1229;975;1081;151797;142460;152146;142608;34522;43346;27788;42230;58968;47937;51785;40368;9878;12866;11435;14880;4577;12749;6027;17125;31657;12933;32474;13082;;;;;9917;4668;10286;4804
5;Nordrhein-Westfalen;99;;12883912;13040267;12883912;13040267;10588884;9960984;10588884;9960984;99150;92465;63307;72954;10489734;9868519;10525577;9888030;2633518;3068628;2108383;2880226;3566697;2973458;3170708;2566719;1230334;1500696;1300915;1587067;349391;851337;462644;1130154;1720361;705020;1769822;717510;;;;;714177;317869;877058;366947
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;Nordsachsen;14;Alternative für Deutschland;158368;161279;158368;161279;126905;119206;126905;119206;1183;1541;849;1449;125722;117665;126056;117757;12555;22257;10562;24732;31395;26883;26170;23000;3090;5883;4308;5462;2684;10251;4012;12476;55022;32702;53909;32066;;;;;10501;9446;10081;8868
151;Leipzig I;14;–;225020;224100;225020;224100;183932;167696;183932;167696;979;1569;939;1277;182953;166127;182993;166419;21470;33588;18454;34748;39285;34107;31902;24953;13796;19778;19746;25848;3828;13397;5826;17660;45728;26450;46287;25891;;;;;39376;25436;38513;20884
152;Leipzig II;14;Die Linke;232750;231178;232750;231178;195980;180880;195980;180880;823;1421;750;1043;195157;179459;195230;179837;16610;29731;21930;37634;31272;29538;30752;23561;19954;32995;31717;38264;3987;13271;6129;17439;36547;20667;36424;20213;;;;;71809;40938;46692;26472
153;Leipzig-Land;14;Alternative für Deutschland;210913;212853;210913;212853;172195;162283;172195;162283;1237;2042;1078;1836;170958;160241;171117;160447;18681;31989;15100;34104;42038;39066;38097;32711;6048;8056;7869;9381;4392;15698;5850;18322;65284;39348;65839;38458;;;;;14925;12672;14985;12362
154;Meißen;14;Alternative für Deutschland;192750;197004;192750;197004;157183;149341;157183;149341;1473;1904;945;1747;155710;147437;156238;147594;11412;22771;11025;26045;37049;32924;31182;25912;6530;7590;7129;8872;8223;13727;5919;17212;70576;45705;68155;43940;;;;;14696;10344;12236;10725
155;Bautzen I;14;Alternative für Deutschland;200548;206895;200548;206895;161811;159233;161811;159233;1596;2098;1181;2145;160215;157135;160630;157088;11385;21006;10375;26674;38642;40929;32190;29213;3483;4090;4691;6247;4199;12634;5002;17187;77339;52492;73914;50050;;;;;15655;14134;12469;12272
156;Görlitz;14;Alternative für Deutschland;196271;204105;196271;204105;155052;153057;155052;153057;1280;2234;1118;2064;153772;150823;153934;150993;9626;18928;9814;25441;37197;39299;30406;27630;4659;6182;5159;7358;2951;11222;4484;15039;75145;53970;71854;49123;;;;;9795;11835;11900;11327
157;Sächsische Schweiz-Osterzgebirge;14;Alternative für Deutschland;195873;199703;195873;199703;160400;154159;160400;154159;1664;2120;983;2005;158736;152039;159417;152154;12765;17505;9505;23545;35961;29176;30820;26028;4751;6830;6318;8023;4477;12920;5170;17814;77899;50203;74174;48580;;;;;14522;15215;11716;11653
158;Dresden I;14;Alternative für Deutschland;225103;228643;225103;228643;184922;181120;184922;181120;1857;1577;852;1394;183065;179543;184070;179726;21456;26271;18241;34125;50040;37811;36585;27710;19898;17137;22544;27369;6230;18588;7082;21989;53853;33780;50387;32122;;;;;26086;33872;25444;18910
159;Dresden II – Bautzen II;14;Alternative für Deutschland;233493;234432;233493;234432;196333;189409;196333;189409;1554;1649;877;1404;194779;187760;195456;188005;18245;28700;16601;30620;47108;35014;35306;26037;22140;25527;25517;31265;5130;20711;6947;22884;58240;34979;55902;36003;;;;;31962;22160;31002;20913
160;Mittelsachsen;14;Alternative für Deutschland;187924;193828;187924;193828;148354;147733;148354;147733;1329;2005;868;1741;147025;145728;147486;145992;13320;25727;11145;27000;39663;34638;30403;25603;3680;5398;5172;6822;4284;14420;4676;16897;66689;48725;64097;43821;;;;;13233;12164;11800;11687
161;Chemnitz;14;Alternative für Deutschland;183295;188691;183295;188691;144921;140700;144921;140700;777;1371;695;1121;144144;139329;144226;139579;24106;34958;16006;32616;30849;25801;28020;20713;6562;9934;9571;12680;3316;13934;4522;15781;46418;30502;47095;30089;;;;;14354;15229;17643;15008
162;Chemnitzer Umland – Erzgebirgskreis II;14;Alternative für Deutschland;171911;177211;171911;177211;140053;137423;140053;137423;1874;1664;846;1441;138179;135759;139207;135982;16137;23181;11899;27518;38302;32111;29537;24662;3827;5617;4523;6138;4654;11872;4416;15117;61030;39264;57241;37181;;;;;14229;11330;10864;11166
163;Erzgebirgskreis I;14;Alternative für Deutschland;202995;210941;202995;210941;164324;161756;164324;161756;1683;2261;1508;2121;162641;159495;162816;159635;10741;23650;10739;28848;40717;40550;33585;31340;2597;4001;3646;5194;3590;11914;4797;16210;75867;50571;75154;48794;;;;;11122;12787;11359;12078
164;Zwickau;14;Alternative für Deutschland;189565;197831;189565;197831;150837;147142;150837;147142;1202;1854;968;1596;149635;145288;149869;145546;14837;24094;13376;30718;35428;30798;31806;27024;3485;5988;4910;7134;4356;13991;4571;15431;59722;37135;60791;36601;;;;;11212;22583;12799;13629
165;Vogtlandkreis;14;Alternative für Deutschland;177440;184973;177440;184973;141582;137816;141582;137816;1593;2065;864;1673;139989;135751;140718;136143;13974;26413;12383;30436;37770;37637;30407;26782;4524;6378;4436;6263;3412;11512;4092;13708;60676;36388;57140;34112;;;;;13335;12655;10937;12058
14;Sachsen;99;;3184219;3253667;3184219;3253667;2584784;2488954;2584784;2488954;22104;29375;15321;26057;2562680;2459579;2569463;2462897;247320;410769;217155;474804;612716;546282;507168;422879;129024;171384;167256;212320;69713;220062;83495;271166;986035;632881;958363;607044;;;;;326812;282800;290440;230012
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
166;Waldeck;6;Christlich Demokratische Union Deutschlands;180475;184073;180475;184073;150103;138130;150103;138130;1662;2140;1393;2087;148441;135990;148710;136043;41883;51613;33994;49064;46166;35734;42778;30392;10559;13581;12718;14775;4863;12062;5921;15288;31701;12536;31359;12899;;;;;8462;4208;9115;4441
167;Kassel;6;Sozialdemokratische Partei Deutschlands;214132;218474;214132;218474;175151;162809;175151;162809;2057;2213;1558;1980;173094;160596;173593;160829;47903;57919;38770;51812;42003;32765;38984;28183;24335;27744;25224;30348;4734;12966;6238;16448;28122;11348;27359;12141;;;;;20208;9357;21334;10518
168;Werra-Meißner – Hersfeld-Rotenburg;6;Christlich Demokratische Union Deutschlands;167770;171886;167770;171886;138613;130905;138613;130905;1651;1865;1432;1879;136962;129040;137181;129026;38010;56383;30447;48579;44170;34527;38981;27867;7357;8032;9947;11595;3326;7135;5247;12807;30924;14204;31856;14899;;;;;7245;3890;8575;4524
169;Schwalm-Eder;6;–;182432;185944;182432;185944;153583;141494;153583;141494;1854;2240;1538;2323;151729;139254;152045;139171;42943;54792;34060;50100;45653;33443;41681;29913;8704;12360;11875;14089;4330;12234;6169;15422;36357;14380;36109;15047;;;;;7975;3761;8625;4411
170;Marburg;6;Sozialdemokratische Partei Deutschlands;179871;181588;179871;181588;152351;141581;152351;141581;1188;1503;970;1312;151163;140078;151381;140269;45774;51630;31104;42098;44013;36528;39797;31042;13738;18709;19597;22347;3481;9334;5910;14789;27634;12591;27522;12558;;;;;11452;6588;16006;8089
171;Lahn-Dill;6;Christlich Demokratische Union Deutschlands;203566;206532;203566;206532;166096;153384;166096;153384;1682;2339;1398;1984;164414;151045;164698;151400;39556;49923;31086;44546;56420;45441;49667;37725;11202;13754;14492;16957;4544;12060;6699;17327;37997;15816;37483;17513;;;;;8678;4756;10932;5102
172;Gießen;6;Christlich Demokratische Union Deutschlands;215142;217514;215142;217514;178691;161919;178691;161919;1749;2144;1445;2217;176942;159775;177246;159702;49203;48514;33232;44046;53851;47283;47077;36201;15277;21249;21925;26109;4906;12109;7410;17106;33549;14496;33917;14836;;;;;12442;6339;17359;8028
173;Fulda;6;Christlich Demokratische Union Deutschlands;206544;208542;206544;208542;174967;163560;174967;163560;1471;1895;1285;1856;173496;161665;173682;161704;23675;35168;22299;36343;75039;61573;65247;50312;11460;13833;13195;16324;5969;13894;8517;20528;39789;24508;40952;21443;;;;;7254;4648;9085;4447
174;Main-Kinzig – Wetterau II – Schotten;6;Christlich Demokratische Union Deutschlands;175443;178307;175443;178307;146919;137070;146919;137070;1616;2186;1295;2033;145303;134884;145624;135037;29795;41160;23746;36943;49613;37118;44475;32685;10739;12691;12820;15009;4755;15098;6777;17046;36229;17586;36169;17079;;;;;7063;4078;8356;4308
175;Hochtaunus;6;Christlich Demokratische Union Deutschlands;178433;179842;178433;179842;152705;144012;152705;144012;1346;1556;1001;1330;151359;142456;151704;142682;29458;38424;25252;35171;57261;44549;50934;37331;18418;21769;19814;22486;7275;16132;9963;21996;25045;10709;24855;11156;;;;;8108;3772;9353;4441
176;Wetterau I;6;Christlich Demokratische Union Deutschlands;176890;176897;176890;176897;149797;138935;149797;138935;1442;2010;1164;1678;148355;136925;148633;137257;38192;40618;26144;35909;49929;38807;45704;32419;14407;18996;19686;21917;5766;15000;7963;19043;25930;11318;25828;11680;;;;;7726;3904;10598;4905
177;Rheingau-Taunus – Limburg;6;Christlich Demokratische Union Deutschlands;217091;220466;217091;220466;182786;172247;182786;172247;1725;2267;1208;1765;181061;169980;181578;170482;40099;48441;30839;43708;66650;51318;60697;44413;19472;24418;22142;25328;7660;18126;10177;23745;31376;13547;31944;14523;;;;;9026;4563;11453;5395
178;Wiesbaden;6;Christlich Demokratische Union Deutschlands;186038;186735;186038;186735;148191;136214;148191;136214;1431;1607;984;1348;146760;134607;147207;134866;32698;34750;25711;33546;44994;35375;39189;28523;21876;25811;23494;26818;5944;13995;8234;18947;20405;9192;20737;9588;;;;;15412;6652;16942;7128
179;Hanau;6;Christlich Demokratische Union Deutschlands;175251;176271;175251;176271;143473;131412;143473;131412;1578;2036;1218;1760;141895;129376;142255;129652;35907;40291;26049;35739;45343;36019;40879;29223;12133;15995;15483;18258;5153;13106;7024;17158;27152;13364;27407;13257;;;;;10768;4462;12169;4948
180;Main-Taunus;6;Christlich Demokratische Union Deutschlands;193390;195514;193390;195514;165897;157718;165897;157718;1344;1782;1044;1437;164553;155936;164853;156281;29237;35493;25838;34468;65485;51985;57903;42260;23001;26373;23886;26771;8846;20295;12190;26335;21541;10588;21890;10427;;;;;9861;4272;10899;4708
181;Frankfurt am Main I;6;–;203423;201216;203423;201216;160181;145010;160181;145010;1547;1507;1159;1247;158634;143503;159022;143763;40832;41604;27190;32499;41232;31163;37384;25915;25758;26922;28697;33821;7418;16369;10541;21361;17067;7909;17092;7846;;;;;20329;12562;24476;10384
182;Frankfurt am Main II;6;–;231104;227207;231104;227207;191699;175004;191699;175004;1489;1752;1119;1353;190210;173252;190580;173651;35099;40431;32775;38777;52042;38995;47486;31660;50303;50230;39503;44370;8768;19766;12532;25530;17451;7990;17799;8188;;;;;18794;10629;25783;11901
183;Groß-Gerau;6;–;172337;174082;172337;174082;140681;129261;140681;129261;1682;1925;1252;1677;138999;127336;139429;127584;40121;42598;27978;37973;42181;35334;37903;27301;11195;14890;15832;18928;4667;10726;6266;14999;22817;10880;23606;11246;;;;;12390;5047;13876;5394
184;Offenbach;6;Christlich Demokratische Union Deutschlands;218352;219511;218352;219511;174370;158052;174370;158052;1852;2331;1407;2238;172518;155721;172963;155814;38383;41035;30178;38799;53812;43347;47974;35754;25416;26229;22646;27062;6606;14828;9360;20625;26300;11851;26232;12098;;;;;17842;7497;19893;7787
185;Darmstadt;6;–;239490;240763;239490;240763;203008;188916;203008;188916;1748;2462;1274;1888;201260;186454;201734;187028;42398;51046;37368;49273;53801;42351;48719;34472;43629;44364;38495;41948;6626;17192;9664;22256;27391;11210;27443;12194;;;;;15384;9332;22541;10764
186;Odenwald;6;Christlich Demokratische Union Deutschlands;230672;233901;230672;233901;194828;179830;194828;179830;2196;3020;1612;2704;192632;176810;193216;177126;47730;57172;35037;49518;65469;49367;59337;42857;17328;21630;21757;24694;6825;17110;9539;22433;35565;14963;36239;15983;;;;;11705;5991;13739;6333
187;Bergstraße;6;Christlich Demokratische Union Deutschlands;195418;197782;195418;197782;164913;153176;164913;153176;1705;1926;1264;1733;163208;151250;163649;151443;34229;41124;28439;41124;59212;46125;51097;37064;14917;20955;18345;21457;6289;16175;8475;20432;33330;14351;32973;14377;;;;;8813;4149;9970;4629
6;Hessen;99;;4343264;4383047;4343264;4383047;3609003;3340639;3609003;3340639;36015;44706;28020;39829;3572988;3295933;3580983;3300810;843125;1000129;657536;910035;1154339;909147;1033893;753512;411224;480535;451573;521411;128751;315712;180816;421621;633672;285337;636771;290978;;;;;256937;130457;311079;142585
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;Eichsfeld – Nordhausen – Kyffhäuserkreis;16;Alternative für Deutschland;206488;213593;206488;213593;165874;158017;165874;158017;1357;2041;1175;1852;164517;155976;164699;156165;14360;34589;14096;37879;45730;41974;38444;34804;3000;6019;4425;7334;3818;10622;4877;14099;65025;35349;64144;35028;;;;;19528;16784;21894;15357
189;Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis;16;Alternative für Deutschland;201182;207877;201182;207877;159953;152584;159953;152584;1305;2062;1249;1850;158648;150522;158704;150734;18894;36150;14825;37766;35936;34040;31218;27107;3882;5329;4733;7311;2345;8595;4052;12854;61093;37462;64059;37005;;;;;16028;17018;20761;15681
190;Jena – Sömmerda – Weimarer Land I;16;Alternative für Deutschland;194207;198697;194207;198697;161207;154163;161207;154163;1110;1912;927;1588;160097;152251;160280;152575;18734;30673;14495;34195;29660;28170;27797;23869;9587;14656;12157;16709;3655;10686;4922;14070;52014;29578;52019;30263;;;;;31246;25741;29919;19505
191;Gotha – Ilm-Kreis;16;Alternative für Deutschland;184294;190519;184294;190519;147985;142566;147985;142566;1359;1982;1162;1918;146626;140584;146823;140648;14680;33085;12958;33437;29345;25918;25917;21820;4402;6498;5144;8100;2999;9494;3906;12126;60348;37249;59553;36522;;;;;18753;15579;21968;15454
192;Erfurt – Weimar – Weimarer Land II;16;Die Linke;214387;217944;214387;217944;176031;166604;176031;166604;1169;1942;1189;1606;174862;164662;174842;164998;13900;40185;18408;39378;28587;28639;30713;23580;5458;19483;15312;21831;3350;12309;5034;15504;46611;27235;46998;26803;;;;;64389;26972;38667;23055
193;Gera – Greiz – Altenburger Land;16;Alternative für Deutschland;220281;229588;220281;229588;173712;168147;173712;168147;1434;2517;1349;2104;172278;165630;172363;166043;18698;36760;13622;36326;34406;33067;30631;27303;3323;6293;4924;7331;3918;14273;5137;16212;77161;48034;74761;46659;;;;;20441;19421;22450;18666
