WKR_NR;Gebiet;gehört zu;Gewählt;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wahlberechtigte;Wählende;Wählende;Wählende;Wählende;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Ungültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;SPD;SPD;SPD;SPD;CDU;CDU;CDU;CDU;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;B90/GRÜNE;FDP;FDP;FDP;FDP;AFD;AFD;AFD;AFD;CSU;CSU;CSU;CSU;DIELINKE;DIELINKE;DIELINKE;DIELINKE
;;;;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen;Erststimmen;Erststimmen;Zweitstimmen;Zweitstimmen
;;;;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode;Vorläufig;Vorperiode
70;Anhalt – Dessau – Wittenberg;15;Alternative für Deutschland;227852;236539;227852;236539;176334;158740;176334;158740;2020;1974;1314;1742;174314;156766;175020;156998;18253;31881;18381;40710;51473;48366;37579;35648;8426;9203;6829;8410;3715;10937;5112;14285;67245;32723;65554;31264;;;;;17744;14580;16654;13730
71;Halle;15;–;224552;229809;224552;229809;173587;162935;173587;162935;2108;1726;1321;1552;171479;161209;172266;161383;30796;45274;20794;37952;38174;33934;31132;29727;9364;12989;15179;20459;5045;13021;6059;16508;52541;25956;49342;25077;;;;;27802;20708;26437;18275
72;Burgenland – Saalekreis;15;Alternative für Deutschland;203597;210378;203597;210378;157348;142699;157348;142699;1771;1785;1142;1456;155577;140914;156206;141243;15652;31258;14168;32444;37716;36495;29389;29898;3751;4945;4583;5885;4615;13161;5127;14415;69071;36270;66134;34824;;;;;17032;14027;13524;12098
73;Mansfeld;15;Alternative für Deutschland;210496;217742;210496;217742;163262;145315;163262;145315;2594;1995;1609;1745;160668;143320;161653;143570;17211;32698;15494;34906;34087;35694;29811;31329;3196;4060;3974;5108;5527;11762;5230;13718;70307;35535;69616;33791;;;;;19697;16360;14485;13656
15;Sachsen-Anhalt;99;;1734716;1789775;1734716;1789775;1348053;1214761;1348053;1214761;17541;14583;10727;12821;1330512;1200178;1337326;1201940;183942;293197;146538;305085;313309;299363;256535;252286;48598;64326;59074;78701;37606;96084;41247;114024;515631;242065;496100;235492;;;;;165811;127576;143803;115330
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;Berlin-Mitte;11;BÜNDNIS 90/DIE GRÜNEN;207445;207010;207445;207010;161873;140655;161873;140655;1053;2061;889;1856;160820;138594;160984;138799;26816;30611;24189;28881;22933;19216;21677;16526;40671;42443;34920;42486;4586;8448;6422;11040;13706;7632;14291;7810;;;;;38520;19764;43614;19610
75;Berlin-Pankow;11;BÜNDNIS 90/DIE GRÜNEN;235392;233069;235392;233069;199071;135593;199071;135593;2264;1459;931;1251;196807;134134;198140;134342;26103;21387;26046;20245;31921;23439;28627;22455;50855;35919;38821;34836;5407;4069;6555;4932;33174;19023;31087;19426;;;;;45010;19048;43182;19157
76;Berlin-Reinickendorf;11;Christlich Demokratische Union Deutschlands;172428;175195;172428;175195;134144;114070;134144;114070;1813;2361;1089;2118;132331;111709;133055;111952;28953;26901;22996;25740;40864;32972;35167;29580;17132;15523;17074;17477;4737;8333;5986;10331;23865;12583;23118;12731;;;;;15581;5194;15729;5067
77;Berlin-Spandau – Charlottenburg Nord;11;Sozialdemokratische Partei Deutschlands;176535;179896;176535;179896;133252;122863;133252;122863;1813;3048;1160;2908;131439;119815;132092;119955;36159;39062;24292;32853;34294;28647;31434;26158;12216;14004;14626;17193;4292;9954;5205;11798;25929;12440;25302;12780;;;;;15042;6484;17050;6074
78;Berlin-Steglitz-Zehlendorf;11;Christlich Demokratische Union Deutschlands;214757;217506;214757;217506;181872;171803;181872;171803;1697;2261;834;2223;180175;169542;181038;169580;40357;41371;32978;40677;55387;48530;48497;39905;39846;37751;35849;38460;7382;14929;10754;20813;18533;9277;18676;10036;;;;;15822;7196;20715;8076
